,District,L_area,PropertyType,MainMaterial,B_area,Rooms,LivingR,BathR,Management,Price
0,三峽區,25.04,住宅大樓,鋼筋混凝土造,195.33,4.0,2.0,2.0,1,11750000.0
1,三峽區,28.92,華廈,鋼筋混凝土造,131.6,3.0,2.0,2.0,1,6300000.0
2,三峽區,11.05,住宅大樓,鋼筋混凝土造,75.22,2.0,1.0,1.0,1,3850000.0
3,三峽區,41.99,華廈,鋼筋混凝土造,183.16,4.0,2.0,2.0,1,10800000.0
4,三峽區,27.1,住宅大樓,鋼筋混凝土造,186.5,3.0,2.0,2.0,1,11000000.0
5,三峽區,17.21,住宅大樓,鋼筋混凝土造,134.72,2.0,2.0,2.0,1,7100000.0
6,三峽區,4.06,住宅大樓,鋼筋混凝土造,47.9,2.0,1.0,1.0,1,2680000.0
7,三峽區,14.77,住宅大樓,鋼筋混凝土造,110.9,3.0,2.0,2.0,1,5050000.0
8,三峽區,11.47,住宅大樓,鋼筋混凝土造,110.11,2.0,1.0,1.0,1,5880000.0
9,三峽區,8.1,住宅大樓,鋼筋混凝土造,83.28,2.0,1.0,1.0,1,5060000.0
10,三峽區,14.14,住宅大樓,鋼筋混凝土造,124.98,2.0,2.0,1.0,1,6020000.0
11,三峽區,18.32,住宅大樓,鋼筋混凝土造,145.5,3.0,2.0,2.0,1,8700000.0
12,三峽區,19.63,住宅大樓,鋼筋混凝土造,166.6,4.0,1.0,2.0,1,7600000.0
13,三峽區,6.53,套房,鋼筋混凝土造,43.21,1.0,0.0,1.0,1,2050000.0
14,三峽區,9.24,住宅大樓,鋼筋混凝土造,70.12,2.0,1.0,2.0,1,4450000.0
15,三峽區,4.8,套房,鋼筋混凝土造,34.26,0.0,0.0,1.0,2,2000000.0
16,三峽區,3.71,住宅大樓,鋼筋混凝土造,36.14,1.0,0.0,1.0,1,1700000.0
17,三峽區,11.47,住宅大樓,鋼筋混凝土造,108.5,2.0,1.0,1.0,1,6500000.0
18,三峽區,15.5,住宅大樓,鋼筋混凝土造,127.88,3.0,2.0,2.0,1,6000000.0
19,三峽區,9.01,套房,鋼筋混凝土造,96.6,1.0,1.0,1.0,1,4950000.0
20,三峽區,30.89,公寓,鋼筋混凝土造,85.0,3.0,2.0,1.0,2,4300000.0
21,三峽區,22.44,住宅大樓,鋼筋混凝土造,198.33,3.0,2.0,2.0,1,11350000.0
22,三峽區,14.05,華廈,鋼筋混凝土造,107.25,3.0,2.0,2.0,1,5000000.0
23,三峽區,21.04,住宅大樓,鋼筋混凝土造,175.75,3.0,2.0,2.0,1,10500000.0
24,三峽區,17.0,住宅大樓,鋼筋混凝土造,133.12,3.0,2.0,2.0,1,7000000.0
25,三峽區,22.44,住宅大樓,鋼筋混凝土造,196.2,3.0,2.0,2.0,1,9900000.0
26,三峽區,27.39,住宅大樓,鋼筋混凝土造,201.61,4.0,2.0,2.0,1,11550000.0
27,三峽區,9.17,住宅大樓,鋼筋混凝土造,69.69,2.0,0.0,2.0,1,4350000.0
28,三峽區,19.35,住宅大樓,鋼筋混凝土造,161.64,3.0,2.0,2.0,1,9550000.0
29,三峽區,6.01,住宅大樓,鋼筋混凝土造,42.58,1.0,0.0,1.0,1,2700000.0
30,三峽區,3.36,住宅大樓,鋼筋混凝土造,34.57,1.0,1.0,1.0,1,1800000.0
31,三峽區,11.94,住宅大樓,鋼筋混凝土造,144.62,3.0,3.0,2.0,1,8700000.0
32,三峽區,12.02,住宅大樓,鋼筋混凝土造,108.39,2.0,1.0,2.0,1,5640000.0
33,三峽區,20.59,住宅大樓,鋼筋混凝土造,228.5,4.0,2.0,2.0,1,14000000.0
34,三峽區,17.02,住宅大樓,鋼筋混凝土造,146.82,3.0,2.0,2.0,1,7650000.0
35,三峽區,21.54,住宅大樓,鋼筋混凝土造,149.16,3.0,2.0,2.0,1,8930000.0
36,三峽區,26.67,華廈,鋼筋混凝土造,174.26,4.0,2.0,2.0,1,8500000.0
37,三峽區,22.73,住宅大樓,鋼筋混凝土造,183.92,3.0,2.0,2.0,1,12000000.0
38,三峽區,11.62,住宅大樓,鋼筋混凝土造,87.81,3.0,2.0,2.0,1,4300000.0
39,三峽區,10.86,住宅大樓,鋼筋混凝土造,106.59,2.0,1.0,1.0,1,6000000.0
40,三峽區,15.53,住宅大樓,鋼筋混凝土造,122.79,2.0,2.0,1.0,1,7400000.0
41,三峽區,17.46,住宅大樓,鋼筋混凝土造,132.03,3.0,1.0,2.0,1,7500000.0
42,三峽區,6.55,住宅大樓,鋼筋混凝土造,60.96,2.0,1.0,1.0,1,3250000.0
