,District,L_area,MainMaterial,B_area,House/Building/Fang,LivingR,BathR,Price,PropertyType2,td,jw
0,中和區,12.54,鋼筋混凝土造,89.65,1.0,1.0,2.0,13900000.0,住宅大樓,2,1
1,新店區,33.32,鋼筋混凝土造,103.21,3.0,2.0,2.0,5000000.0,公寓,3,1
2,中和區,23.11,鋼筋混凝土造,57.6,2.0,1.0,1.0,4500000.0,公寓,1,1
5,八里區,19.49,鋼筋混凝土造,120.18,2.0,1.0,1.0,5350000.0,華廈,1,1
6,蘆洲區,24.45,鋼筋混凝土造,98.32,3.0,1.0,2.0,9500000.0,公寓,1,1
10,八里區,9.75,鋼筋混凝土造,75.99,2.0,2.0,1.0,3710000.0,住宅大樓,1,1
11,淡水區,6.37,鋼筋混凝土造,42.98,1.0,1.0,1.0,1820000.0,住宅大樓,2,1
13,中和區,8.41,鋼筋混凝土造,105.64,3.0,2.0,2.0,10550000.0,住宅大樓,1,1
17,五股區,19.06,鋼筋混凝土造,140.44,3.0,2.0,2.0,7500000.0,華廈,1,1
20,蘆洲區,8.87,鋼筋混凝土造,57.11,1.0,1.0,1.0,5500000.0,住宅大樓,2,1
21,樹林區,17.28,鋼筋混凝土造,120.91,3.0,1.0,1.0,5800000.0,住宅大樓,1,2
22,五股區,34.2,鋼筋混凝土造,101.6,3.0,2.0,2.0,3800000.0,公寓,1,1
23,新莊區,19.23,鋼筋混凝土造,59.4,2.0,1.0,1.0,4300000.0,公寓,2,1
24,新莊區,21.5,鋼筋混凝土造,79.99,3.0,2.0,1.0,3700000.0,公寓,1,1
25,三重區,13.08,鋼筋混凝土造,71.88,2.0,2.0,1.0,7100000.0,住宅大樓,1,1
31,三重區,4.96,鋼筋混凝土造,66.4,2.0,2.0,1.0,6750000.0,住宅大樓,1,1
32,土城區,31.09,鋼筋混凝土造,103.18,3.0,2.0,1.0,9500000.0,公寓,1,1
33,林口區,20.29,鋼筋混凝土造,146.21,3.0,2.0,2.0,8130000.0,住宅大樓,1,1
35,新店區,5.59,鋼筋混凝土造,96.35,3.0,2.0,2.0,13450000.0,住宅大樓,1,1
39,三重區,34.29,鋼筋混凝土造,237.72,5.0,2.0,2.0,17750000.0,華廈,1,2
40,淡水區,24.54,鋼筋混凝土造,189.33,3.0,3.0,2.0,17000000.0,住宅大樓,1,1
44,汐止區,25.78,鋼筋混凝土造,144.69,3.0,2.0,2.0,11500000.0,住宅大樓,1,1
47,土城區,23.09,鋼筋混凝土造,82.92,3.0,2.0,1.0,5800000.0,公寓,1,1
53,新莊區,20.83,鋼筋混凝土造,77.59,2.0,1.0,1.0,7300000.0,公寓,1,1
54,新莊區,11.04,鋼筋混凝土造,75.17,2.0,2.0,2.0,7000000.0,住宅大樓,1,1
55,林口區,22.39,鋼筋混凝土造,127.04,3.0,2.0,2.0,8300000.0,住宅大樓,1,1
56,林口區,37.65,鋼筋混凝土造,184.22,3.0,2.0,2.0,11500000.0,住宅大樓,1,1
57,新莊區,16.09,鋼筋混凝土造,108.99,1.0,1.0,2.0,8500000.0,華廈,1,1
58,新莊區,20.63,鋼筋混凝土造,96.35,3.0,1.0,2.0,7800000.0,華廈,1,1
59,五股區,12.38,鋼筋混凝土造,135.43,3.0,2.0,2.0,6250000.0,住宅大樓,1,1
61,土城區,12.09,鋼筋混凝土造,88.72,2.0,1.0,1.0,6850000.0,住宅大樓,4,1
62,土城區,7.79,鋼筋混凝土造,70.56,2.0,2.0,1.0,6250000.0,華廈,1,1
63,板橋區,16.22,鋼筋混凝土造,111.0,3.0,2.0,2.0,11650000.0,華廈,1,1
65,土城區,24.39,鋼筋混凝土造,81.75,3.0,2.0,2.0,5900000.0,公寓,1,1
67,板橋區,23.25,加強磚造,75.9,0.0,0.0,0.0,8280000.0,公寓,1,1
70,淡水區,17.47,鋼筋混凝土造,93.82,2.0,1.0,2.0,4800000.0,住宅大樓,1,1
71,三芝區,24.31,鋼筋混凝土造,132.78,3.0,2.0,2.0,2700000.0,華廈,1,1
