,District,MainMaterial,B_area,LivingR,BathR,Price,PropertyType2,log_Price,log_B_area
0,中和區,鋼筋混凝土造,89.65,1,2,13900000.0,住宅大樓,16.44739939810092,4.495913200051142
1,新店區,鋼筋混凝土造,103.21,2,2,5000000.0,公寓,15.424948470398375,4.636765747577842
2,中和區,鋼筋混凝土造,57.6,1,1,4500000.0,公寓,15.319587954740548,4.053522567701846
3,八里區,鋼筋混凝土造,120.18,1,1,5350000.0,華廈,15.49260711887219,4.788990618905782
4,蘆洲區,鋼筋混凝土造,98.32,1,2,9500000.0,公寓,16.06680235657077,4.58822746525778
5,八里區,鋼筋混凝土造,75.99,2,1,3710000.0,住宅大樓,15.126542434583618,4.330601752681694
6,淡水區,鋼筋混凝土造,42.98,1,1,1820000.0,住宅大樓,14.414347059052979,3.7607348912143643
7,中和區,鋼筋混凝土造,105.64,2,2,10550000.0,住宅大樓,16.17163641788635,4.660037087428932
8,五股區,鋼筋混凝土造,140.44,2,2,7500000.0,華廈,15.830413578506539,4.944780351300231
9,蘆洲區,鋼筋混凝土造,57.11,1,1,5500000.0,住宅大樓,15.520258650202699,4.044979232676772
10,樹林區,鋼筋混凝土造,120.91,1,1,5800000.0,住宅大樓,15.573368475516649,4.795046467186156
11,五股區,鋼筋混凝土造,101.6,2,2,3800000.0,公寓,15.150511624696614,4.6210435351443815
12,新莊區,鋼筋混凝土造,59.4,1,1,4300000.0,公寓,15.27412558066379,4.084294226368599
13,新莊區,鋼筋混凝土造,79.99,2,1,3700000.0,公寓,15.123843377614453,4.3819016268607305
14,三重區,鋼筋混凝土造,71.88,2,1,7100000.0,住宅大樓,15.775605342011543,4.274998061915358
15,三重區,鋼筋混凝土造,66.4,2,1,6750000.0,住宅大樓,15.725053062848712,4.1956970564823886
16,土城區,鋼筋混凝土造,103.18,2,1,9500000.0,公寓,16.06680235657077,4.636475035816504
17,林口區,鋼筋混凝土造,146.21,2,2,8130000.0,住宅大樓,15.911071481523994,4.985043944429346
18,新店區,鋼筋混凝土造,96.35,2,2,13450000.0,住宅大樓,16.414489664012123,4.567987394860375
19,三重區,鋼筋混凝土造,237.72,2,2,17750000.0,華廈,16.691896073885697,5.47109351049846
20,淡水區,鋼筋混凝土造,189.33,3,2,17000000.0,住宅大樓,16.64872390202049,5.243491524264258
21,汐止區,鋼筋混凝土造,144.69,2,2,11500000.0,住宅大樓,16.25785759333348,4.97459352274899
