,District,PropertyType,MainMaterial,B_area,Rooms,LivingR,BathR,Price
0,三峽區,住宅大樓,鋼筋混凝土造,135.3,3.0,2.0,2.0,10500000.0
1,三峽區,住宅大樓,鋼筋混凝土造,164.51,4.0,2.0,2.0,13000000.0
2,三峽區,華廈,鋼筋混凝土造,85.32,2.0,2.0,1.0,5400000.0
3,三峽區,華廈,鋼筋混凝土造,153.79,4.0,2.0,2.0,8800000.0
4,三峽區,華廈,鋼筋混凝土造,139.83,4.0,2.0,2.0,8700000.0
5,三峽區,住宅大樓,鋼筋混凝土造,82.55,2.0,1.0,1.0,7650000.0
6,三峽區,住宅大樓,鋼筋混凝土造,131.21,3.0,2.0,2.0,8660000.0
7,三峽區,住宅大樓,鋼筋混凝土造,96.44,4.0,2.0,2.0,7000000.0
8,三峽區,公寓,鋼筋混凝土造,82.55,5.0,0.0,5.0,6300000.0
9,三峽區,住宅大樓,鋼筋混凝土造,144.09,3.0,2.0,2.0,9080000.0
10,三峽區,住宅大樓,鋼筋混凝土造,102.96,3.0,0.0,3.0,8030000.0
11,三峽區,華廈,鋼筋混凝土造,122.38,3.0,2.0,2.0,7200000.0
12,三峽區,住宅大樓,鋼筋混凝土造,70.05,2.0,0.0,2.0,5750000.0
13,三峽區,套房,鋼筋混凝土造,39.91,0.0,1.0,1.0,3980000.0
14,三峽區,華廈,鋼筋混凝土造,175.23,4.0,2.0,2.0,10000000.0
15,三峽區,住宅大樓,鋼筋混凝土造,147.45,4.0,2.0,2.0,8800000.0
16,三峽區,華廈,鋼筋混凝土造,106.32,3.0,2.0,2.0,6700000.0
17,三峽區,住宅大樓,鋼筋混凝土造,108.81,2.0,2.0,1.0,8360000.0
18,三峽區,住宅大樓,鋼筋混凝土造,159.86,3.0,2.0,2.0,13000000.0
19,三峽區,住宅大樓,鋼筋混凝土造,115.85,3.0,2.0,2.0,7500000.0
20,三峽區,住宅大樓,鋼筋混凝土造,164.29,3.0,2.0,2.0,13400000.0
21,三峽區,住宅大樓,鋼筋混凝土造,118.57,3.0,2.0,2.0,6500000.0
22,三峽區,住宅大樓,鋼筋混凝土造,157.77,3.0,2.0,2.0,12700000.0
23,三峽區,住宅大樓,鋼筋混凝土造,83.25,2.0,1.0,1.0,6680000.0
24,三峽區,住宅大樓,鋼筋混凝土造,98.89,2.0,1.0,1.0,6600000.0
25,三峽區,住宅大樓,鋼筋混凝土造,97.56,2.0,2.0,2.0,6000000.0
26,三峽區,住宅大樓,鋼筋混凝土造,127.96,2.0,2.0,1.0,8600000.0
27,三峽區,住宅大樓,鋼筋混凝土造,126.44,2.0,2.0,1.0,10200000.0
28,三峽區,華廈,鋼筋混凝土造,81.15,3.0,1.0,1.0,5150000.0
29,三峽區,住宅大樓,鋼筋混凝土造,124.9,3.0,2.0,2.0,8000000.0
30,三峽區,住宅大樓,鋼筋混凝土造,69.92,2.0,2.0,1.0,5580000.0
31,三峽區,住宅大樓,鋼筋混凝土造,145.5,3.0,2.0,2.0,11250000.0
32,三峽區,華廈,鋼筋混凝土造,136.63,3.0,2.0,1.0,8960000.0
33,三峽區,住宅大樓,鋼筋混凝土造,118.94,3.0,1.0,2.0,7700000.0
34,三峽區,華廈,鋼筋混凝土造,161.96,6.0,0.0,6.0,13200000.0
35,三峽區,住宅大樓,鋼筋混凝土造,103.75,2.0,2.0,1.0,7800000.0
36,三峽區,住宅大樓,鋼筋混凝土造,146.56,3.0,2.0,2.0,9000000.0
37,三峽區,住宅大樓,鋼筋混凝土造,120.31,2.0,2.0,1.0,10200000.0
38,三峽區,住宅大樓,鋼筋混凝土造,70.12,2.0,0.0,2.0,6150000.0
39,三峽區,套房,鋼筋混凝土造,39.02,1.0,0.0,1.0,4000000.0
40,三峽區,華廈,鋼筋混凝土造,99.06,3.0,2.0,2.0,6300000.0
41,三峽區,住宅大樓,鋼筋混凝土造,92.49,3.0,2.0,1.0,7870000.0
42,三峽區,住宅大樓,鋼筋混凝土造,89.09,2.0,2.0,1.0,6500000.0
43,三峽區,華廈,鋼筋混凝土造,70.53,2.0,1.0,1.0,5200000.0
44,三峽區,華廈,鋼筋混凝土造,119.97,3.0,2.0,2.0,7200000.0
45,三峽區,公寓,鋼筋混凝土造,86.05,0.0,0.0,0.0,4460000.0
46,三峽區,住宅大樓,鋼筋混凝土造,106.59,2.0,2.0,1.0,8200000.0
47,三峽區,住宅大樓,鋼筋混凝土造,71.65,2.0,2.0,1.0,7380000.0
48,三峽區,公寓,鋼筋混凝土造,80.35,7.0,0.0,2.0,4000000.0
49,三峽區,住宅大樓,鋼筋混凝土造,115.84,3.0,2.0,2.0,9200000.0
50,三峽區,透天厝,鋼筋混凝土造,229.01,4.0,3.0,3.0,10000000.0
51,三峽區,華廈,鋼筋混凝土造,149.07,3.0,2.0,2.0,7300000.0
52,三峽區,住宅大樓,鋼筋混凝土造,132.77,3.0,2.0,2.0,11180000.0
53,三峽區,公寓,鋼筋混凝土造,83.05,3.0,1.0,1.0,4100000.0
54,三峽區,華廈,鋼筋混凝土造,123.51,3.0,2.0,2.0,9000000.0
55,三峽區,住宅大樓,鋼筋混凝土造,127.91,3.0,2.0,2.0,8450000.0
