鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土益也使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易備註,備註,編號
北區,房地(土地+建物),臺南市北區海安路3段B06棟11樓號,11.15,住,,,1051224,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6420000,68225,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B02棟05樓號,11.15,住,,,1051224,土地1建物1車位1,,,05,,,,,1,2,2,有,無,7600000,59655,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟21樓號,15.21,住,,,1051229,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9980000,61696,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段B06棟21樓號,11.15,住,,,1060103,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6530000,69394,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟24樓號,15.18,住,,,1051225,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10760000,66436,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟13樓號,15.14,住,,,1060410,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10710000,66127,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A02棟24樓號,11.15,住,,,1051225,土地1建物1車位1,,,05,,,,,1,2,2,有,無,8060000,63151,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A07棟10樓號,15.18,住,,,1060104,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9980000,61586,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段B06棟05樓號,11.15,住,,,1051227,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6360000,67588,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A07棟03樓號,15.18,住,,,1060410,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9430000,58192,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A07棟19樓號,15.18,住,,,1060106,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10210000,63005,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟03樓號,15.14,住,,,1060410,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9400000,58154,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段B06棟13樓號,11.15,住,,,1051229,土地1建物1車位0,,,05,,,,,1,2,2,有,無,5700000,60574,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟03樓號,15.18,住,,,1060419,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9150000,56576,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A05棟20樓號,15.21,住,,,1060106,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10200000,62932,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟04樓號,15.21,住,,,1060421,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9680000,59842,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟21樓號,15.21,住,,,1060103,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10300000,63549,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟03樓號,15.14,住,,,1060422,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9800000,60509,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A02棟03樓號,11.15,住,,,1060422,土地1建物1車位1,,,05,,,,,1,2,2,有,無,7200000,56413,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟19樓號,15.18,住,,,1060425,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10830000,66868,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟19樓號,15.21,住,,,1060817,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10450000,64474,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段B06棟04樓號,11.15,住,,,1060502,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6400000,68013,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟04樓號,15.18,住,,,1060502,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9160000,56638,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B02棟04樓號,11.15,住,,,1060503,土地1建物1車位1,,,05,,,,,1,2,2,有,無,7250000,56907,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段B02棟15樓號,11.15,住,,,1051231,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6580000,69926,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟13樓號,15.21,住,,,1060109,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9990000,61758,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟20樓號,15.18,住,,,1051231,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10720000,66189,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟24樓號,15.21,住,,,1060102,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10360000,64045,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A07棟05樓號,15.18,住,,,1060110,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9890000,61031,,,,,,
